No.,TITLE,AUTHOR,ACCESSION NO.,CALL NUMBER,DATE ACQUIRED,Summary,Keywords,General_Category,Sub_Category,Like,Dislike
63,The bubbly bumblebee,,840019 pl,PL372.4 B617b 2006,23-Jan-09,"""The Bubbly Bumblebee"" is a charming tale about a cheerful bumblebee named Benny who embarks on an adventure to find his unique place within the vibrant ecosystem of the garden. Along the way, Benny meets a variety of garden creatures and learns valuable lessons about friendship, self-acceptance, and the importance of every role in nature's tapestry.","bumblebee, adventure, friendship, self-acceptance, garden",Children,Children'S Literature,5,10
64,Mga bugtong at salawikain para sa bagong henerasyon,"Tica, Nimnod Ebenezer C.",880931 pl,PL398.6 M579 2002,24-Sep-13,"""Mga bugtong at salawikain para sa bagong henerasyon"" by Nimnod Ebenezer C. Tica is a collection of traditional Filipino riddles (bugtong) and proverbs (salawikain) curated for the modern generation. The book aims to preserve and pass on cultural heritage by engaging young readers with timeless wisdom and wit that reflect Filipino values and life lessons.","riddles, proverbs, Filipino culture, wisdom, heritage",Children,Folklore,14,6
65,Bulakan ng mga bayani: mga sanaysay tungkol sa rebolusyon ng 1896,"Veneracion, Jaime",828807 pl,KH959.9 V555b 2007,,"""Bulakan ng mga bayani: mga sanaysay tungkol sa rebolusyon ng 1896"" by Jaime Veneracion is a collection of essays that delves into the pivotal role of the province of Bulacan and its people during the Philippine Revolution of 1896. The book highlights the contributions and sacrifices of Bulacan's local heroes and provides a nuanced understanding of the socio-political landscape of the time. Through detailed historical analysis, the author sheds light on lesser-known figures and events, enriching the narrative of the nation's struggle for independence.","Bulacan, revolution, heroes, 1896, independence",History,History,19,12
66,Business Correspondence,"Baraceros, Esther",801022 pl,PL 651.75 B23b 2000,8-May-06,"""Business Correspondence"" by Esther Baraceros is a comprehensive guide that focuses on the essentials of effective business communication. It covers the foundational principles of writing professional emails, letters, reports, and other forms of correspondence. The book emphasizes clarity, conciseness, and proper etiquette, providing practical examples and exercises to help readers develop their skills in crafting clear and impactful business messages.","communication, professional, writing, etiquette, correspondence",Business & Career,Business,6,8
67,A business executive joins the cabinet: his joys & pains,"Cariño, Isidro",483820/487034pl,KH 351.007 C1911b 1992,,"""A Business Executive Joins the Cabinet: His Joys & Pains"" by Isidro CariÃ±o explores the journey of a seasoned business executive who transitions into a governmental role as a cabinet member. The book delves into the challenges and triumphs he faces as he navigates the complexities of public service, contrasting his corporate experience with the intricacies of political life. Through personal anecdotes and insights, CariÃ±o offers a unique perspective on leadership and governance, highlighting the difficulties and rewards of such a career shift.","business, executive, government, leadership, transition",Business & Career,Non-Fiction,6,16
68,"A business executive joins the cabinet: his joys , pains & travails after","Cariño, Isidro ",493933 pl,KH 351.007 C1911b 1993,,"""A Business Executive Joins the Cabinet: His Joys, Pains & Travails After"" by Isidro CariÃ±o offers an insightful account of a business executive's transition into a high-level government role. The book details the challenges and triumphs he faces as he navigates the complexities of political life, balancing his business acumen with the intricacies of public service. Through candid anecdotes and reflections, the author explores themes of leadership, adaptation, and the often unexpected realities of governmental responsibilities.","business, government, leadership, transition, challenges",Business & Career,Non-Fiction,20,13
69,Business opportunites in the Phils.,,584335/680080pl,KH 337.59909 B365 1996,,"""Business Opportunities in the Phils."" explores the diverse and burgeoning market landscape of the Philippines, offering insights into key sectors such as technology, agriculture, tourism, and manufacturing. The book provides practical guidance for entrepreneurs and investors looking to navigate the country's economic environment, highlighting challenges and opportunities for growth and development.","Philippines, business, investment, entrepreneurship, economy",Business & Career,Business,17,14
70,By sword and fire,"Aluit, Alfonso",623618pl,KH940.53599212 A181b 1995,13-May-99,"""By Sword and Fire"" by Alfonso Aluit is a historical account that delves into the tumultuous events of the Philippine-American War and the resulting Philippine struggle for independence. The book provides a detailed narrative of the armed conflicts, key battles, and the courage and resilience of the Filipino people as they faced both internal and external challenges. Through comprehensive research and vivid storytelling, Aluit brings to life the complexities and the human cost of war, highlighting the enduring spirit of the nation's quest for sovereignty.","Philippine-American War, independence, battles, resilience, sovereignty",History,History,20,9
71,Carigara,"Makabenta, Eduardo",587318/587699pl,KH 959.9531313 C191c 1995,13-May-99,,,Fiction,,15,15
72,Caring for the filters,"Pagunsan, Pearle T.",777007/776989pl,KH 616.61 P149c 2003,21-Nov-03 & 21-Nov-04,,,Science,,10,17
73,Cavite before the revolution (1571-1896),"Medina, Isagani",502455 pl,KH 959.9142 M468c 1994,,"""Cavite before the Revolution (1571-1896)"" by Isagani Medina explores the historical and cultural development of Cavite, a province in the Philippines, during the Spanish colonial period. The book delves into the socio-economic and political landscape, highlighting Cavite's strategic significance as a naval base and its role in the wider Philippine history leading up to the revolution against Spanish rule. Medina provides a detailed account of the daily life, challenges, and transformations within the province over more than three centuries.","Cavite, Spanish colonial, Philippines, history, revolution",History,History,20,10
74,Cavite before the revolution (1571-1896),"Medina, Isagani",765397/765683pl,KH 959.9142 M468c 2002,25-Oct-04 & 21-Nov-03,"""Cavite before the Revolution (1571-1896)"" by Isagani Medina provides a detailed historical account of the province of Cavite in the Philippines during the Spanish colonial period. It explores the socio-economic, political, and cultural developments in Cavite leading up to the Philippine Revolution. The book delves into the lives of its inhabitants, the influence of the Spanish regime, and the pivotal role Cavite played in the country's quest for independence.","Cavite, Spanish colonialism, Philippine history, socio-economic development, independence",History,History,14,20
75,"Cavite el viejo: kasaysayan, lipunan, kultura ","Calairo, E.",625560 pl,KH 959.9142 C125c 1998,13-May-99,"""Cavite el Viejo: Kasaysayan, Lipunan, Kultura"" by Emmanuel F. Calairo explores the rich history, society, and culture of Cavite, an important province in the Philippines. The book delves into the region's evolution from its early days to its significant role in Philippine history, highlighting its contributions to the country's cultural and social landscape. Through a detailed examination of historical events, influential figures, and cultural practices, Calairo provides a comprehensive understanding of Cavite's unique identity.","Cavite, history, culture, Philippines, society",History,Non-Fiction,10,16
76,CCP Encyclopedia of Phil. Art,,179 pl(cd),,17-May-00,"The 'CCP Encyclopedia of Philippine Art' is a comprehensive reference work that explores the rich and diverse landscape of Philippine art. It covers various forms and aspects of art in the Philippines, including visual arts, music, dance, theater, film, and literature. The encyclopedia provides detailed entries on influential artists, significant works, cultural movements, and historical contexts, making it an invaluable resource for understanding the evolution and contributions of Filipino art to the global stage.","Philippine art, visual arts, cultural movements, Filipino artists, historical context",Art & Media,Reference,16,6
